position,reference_speed,desired_speed,result_speed,longitudinal acceleration,lateral acceleration,longitudinal_slack_variable,lateral_slack_variable
0,2,1.5,1,0,-6.56789e-08,1.43432e-12,1.43432e-12
0.2,2,1.5,1,0.0234341,-6.56789e-08,1.43432e-12,1.43432e-12
0.4,2,1.5,1.00468,0.0445287,6.3636e-06,1.43432e-12,1.43432e-12
0.6,2,1.5,1.0135,0.0634415,1.08082e-05,1.43432e-12,1.43432e-12
0.8,2,1.5,1.02594,0.0803257,1.55245e-05,1.43432e-12,1.43432e-12
1,2,1.5,1.04149,0.0953295,1.98648e-05,1.43432e-12,1.43432e-12
1.2,2,1.5,1.05963,0.108594,2.07612e-05,1.43432e-12,1.43432e-12
1.4,2,1.5,1.07994,0.120254,1.78091e-05,1.43432e-12,1.43432e-12
1.6,2,1.5,1.10198,0.130436,1.37767e-05,1.43432e-12,1.43432e-12
1.8,2,1.5,1.12541,0.139261,9.39229e-06,1.43432e-12,1.43432e-12
2,2,1.5,1.14989,0.146839,4.71692e-06,1.43432e-12,1.43432e-12
2.2,2,1.5,1.17515,0.153276,4.55345e-07,1.43432e-12,1.43432e-12
2.4,2,1.5,1.20095,0.158672,-3.14414e-06,1.43432e-12,1.43432e-12
2.6,2,1.5,1.22709,0.163117,-6.74468e-06,1.43432e-12,1.43432e-12
2.8,2,1.5,1.2534,0.1667,-1.06463e-05,1.43432e-12,1.43432e-12
3,2,1.5,1.27972,0.169501,-1.45626e-05,1.43432e-12,1.43432e-12
3.2,2,1.5,1.30594,0.171596,-1.54811e-05,1.43432e-12,1.43432e-12
3.4,2,1.5,1.33196,0.173058,-1.16698e-05,1.43432e-12,1.43432e-12
3.6,2,1.5,1.3577,0.173954,-5.70777e-06,1.43432e-12,1.43432e-12
3.8,2,1.5,1.38309,0.174348,7.53537e-07,1.43432e-12,1.43432e-12
4,2,1.5,1.40807,0.174301,7.69676e-06,1.43432e-12,1.43432e-12
4.2,2,1.5,1.43262,0.173869,1.39808e-05,1.43432e-12,1.43432e-12
4.4,2,1.5,1.45669,0.173108,1.42643e-05,1.43432e-12,1.43432e-12
4.6,2,1.5,1.48026,0.172069,7.68007e-06,1.43432e-12,1.43432e-12
4.8,2,1.5,1.50333,0.170802,-9.06495e-07,1.43432e-12,1.43432e-12
5,2,1.5,1.52589,0.169353,-1.00237e-05,1.43432e-12,1.43432e-12
5.2,2,1.5,1.54792,0.167768,-1.86373e-05,1.43432e-12,1.43432e-12
5.4,2,1.5,1.56945,0.16609,-2.18819e-05,1.43432e-12,1.43432e-12
5.6,2,1.5,1.59047,0.16436,-1.90087e-05,1.43432e-12,1.43432e-12
5.8,2,1.5,1.61101,0.162618,-1.45158e-05,1.43432e-12,1.43432e-12
6,2,1.5,1.63107,0.160902,-9.76994e-06,1.43432e-12,1.43432e-12
6.2,2,1.5,1.65069,0.15925,-4.77539e-06,1.43432e-12,1.43432e-12
6.4,2,1.5,1.66987,0.157696,7.93258e-07,1.43432e-12,1.43432e-12
6.6,2,1.5,1.68865,0.156276,8.66776e-06,1.43432e-12,1.43432e-12
6.8,2,1.5,1.70706,0.155021,1.91802e-05,1.43432e-12,1.43432e-12
7,2,1.5,1.72513,0.153966,3.06996e-05,1.43432e-12,1.43432e-12
7.2,2,1.5,1.74288,0.153139,4.26747e-05,1.43432e-12,1.43432e-12
7.4,2,1.5,1.76037,0.152573,5.50612e-05,1.43432e-12,1.43432e-12
7.6,2,1.5,1.77762,0.152296,6.54791e-05,1.43432e-12,1.43432e-12
7.8,2,1.5,1.79467,0.152337,7.02228e-05,1.43432e-12,1.43432e-12
8,2,1.5,1.81157,0.152723,7.10929e-05,1.43432e-12,1.43432e-12
8.2,2,1.5,1.82835,0.153482,7.16364e-05,1.43432e-12,1.43432e-12
8.4,2,1.5,1.84507,0.154639,7.21619e-05,1.43432e-12,1.43432e-12
8.6,2,1.5,1.86175,0.15622,7.28782e-05,1.43432e-12,1.43432e-12
8.8,2,1.5,1.87846,0.15825,7.65934e-05,1.43432e-12,1.43432e-12
9,2,1.5,1.89523,0.160753,8.52426e-05,1.43432e-12,1.43432e-12
9.2,2,1.5,1.91212,0.163752,9.62718e-05,1.43432e-12,1.43432e-12
9.4,2,1.5,1.92917,0.167271,0.000107725,1.43432e-12,1.43432e-12
9.6,2,1.5,1.94644,0.171331,0.000119571,1.43432e-12,1.43432e-12
9.8,2,1.5,1.96396,0.175954,0.000130029,1.43432e-12,1.43432e-12
10,2,1.5,1.9818,0.181162,0.000133678,1.43432e-12,1.43432e-12
10.2,2,1.5,2,0.186975,0.000131019,1.43432e-12,1.43432e-12
10.4,4,3.5,2.01861,0.192185,0.000127237,1.43432e-12,1.43432e-12
10.6,4,3.5,2.03756,0.196813,0.000123303,1.43432e-12,1.43432e-12
10.8,4,3.5,2.05679,0.200876,0.000119201,1.43432e-12,1.43432e-12
11,4,3.5,2.07623,0.204394,0.00011465,1.43432e-12,1.43432e-12
11.2,4,3.5,2.09583,0.207384,0.000109069,1.43432e-12,1.43432e-12
11.4,4,3.5,2.11553,0.209864,0.000102598,1.43432e-12,1.43432e-12
11.6,4,3.5,2.13527,0.21185,9.57598e-05,1.43432e-12,1.43432e-12
11.8,4,3.5,2.15503,0.213359,8.86129e-05,1.43432e-12,1.43432e-12
12,4,3.5,2.17474,0.214407,8.14893e-05,1.43432e-12,1.43432e-12
12.2,4,3.5,2.19437,0.215009,8.46833e-05,1.43432e-12,1.43432e-12
12.4,4,3.5,2.21388,0.215181,0.00011019,1.43432e-12,1.43432e-12
12.6,4,3.5,2.23323,0.214937,0.000149302,1.43432e-12,1.43432e-12
12.8,4,3.5,2.2524,0.214292,0.000190384,1.43432e-12,1.43432e-12
13,4,3.5,2.27135,0.21326,0.000232586,1.43432e-12,1.43432e-12
13.2,4,3.5,2.29005,0.211854,0.000267218,1.43432e-12,1.43432e-12
13.4,4,3.5,2.30847,0.210088,0.000281492,1.43432e-12,1.43432e-12
13.6,4,3.5,2.32661,0.207975,0.000282316,1.43432e-12,1.43432e-12
13.8,4,3.5,2.34441,0.205527,0.000282071,1.43432e-12,1.43432e-12
14,4,3.5,2.36188,0.202757,0.000281755,1.43432e-12,1.43432e-12
14.2,4,3.5,2.37899,0.199677,0.000280656,1.43432e-12,1.43432e-12
14.4,4,3.5,2.39572,0.196299,0.00026805,1.43432e-12,1.43432e-12
14.6,4,3.5,2.41205,0.192634,0.000236021,1.43432e-12,1.43432e-12
14.8,4,3.5,2.42797,0.188694,0.000194461,1.43432e-12,1.43432e-12
15,4,3.5,2.44346,0.184491,0.000151485,1.43432e-12,1.43432e-12
15.2,4,3.5,2.45852,0.180034,0.000107347,1.43432e-12,1.43432e-12
15.4,4,3.5,2.47312,0.175335,6.91191e-05,1.43432e-12,1.43432e-12
15.6,4,3.5,2.48726,0.170405,7.69366e-05,1.43432e-12,1.43432e-12
15.8,4,3.5,2.50092,0.165253,0.000139106,1.43432e-12,1.43432e-12
16,4,3.5,2.51411,0.159891,0.000216839,1.43432e-12,1.43432e-12
16.2,4,3.5,2.52679,0.154327,0.000296141,1.43432e-12,1.43432e-12
16.4,4,3.5,2.53898,0.148573,0.000372242,1.43432e-12,1.43432e-12
16.6,4,3.5,2.55065,0.142638,0.000404178,1.43432e-12,1.43432e-12
16.8,4,3.5,2.56181,0.13653,0.000374483,1.43432e-12,1.43432e-12
17,4,3.5,2.57245,0.130261,0.00032267,1.43432e-12,1.43432e-12
17.2,4,3.5,2.58256,0.12384,0.000269766,1.43432e-12,1.43432e-12
17.4,4,3.5,2.59213,0.117275,0.00021946,1.43432e-12,1.43432e-12
17.6,4,3.5,2.60116,0.110575,0.000211749,1.43432e-12,1.43432e-12
17.8,4,3.5,2.60965,0.103751,0.000269629,1.43432e-12,1.43432e-12
18,4,3.5,2.61759,0.0968106,0.000354545,1.43432e-12,1.43432e-12
18.2,4,3.5,2.62498,0.0897631,0.000440842,1.43432e-12,1.43432e-12
18.4,4,3.5,2.63181,0.0826173,0.000526338,1.43432e-12,1.43432e-12
18.6,4,3.5,2.63808,0.0753819,0.000579938,1.43432e-12,1.43432e-12
18.8,4,3.5,2.64379,0.0680658,0.000574546,1.43432e-12,1.43432e-12
19,4,3.5,2.64893,0.0606776,0.000539626,1.43432e-12,1.43432e-12
19.2,4,3.5,2.65351,0.0532258,0.000503547,1.43432e-12,1.43432e-12
19.4,4,3.5,2.65752,0.0457191,0.00046745,1.43432e-12,1.43432e-12
19.6,4,3.5,2.66096,0.0381659,0.000430645,1.43432e-12,1.43432e-12
19.8,4,3.5,2.66382,0.0305748,0.000381969,1.43432e-12,1.43432e-12
20,4,3.5,2.66612,0.0229542,0.000313367,1.43432e-12,1.43432e-12
20.2,4,3.5,2.66784,0.0153126,0.000235633,1.43432e-12,1.43432e-12
20.4,4,3.5,2.66899,0.00765843,0.000157406,1.43432e-12,1.43432e-12
20.6,4,3.5,2.66956,0,-6.56789e-08,1.43432e-12,1.43432e-12
